DATAFLOW_CODE,DATAFLOW_LEVEL,DATAFLOW_LEVEL_TYPE,IS_MAIN_DATAFLOW,IS_SECONDARY_DATAFLOW,MAIN_DATAFLOW_CODE,SECONDARY_DATAFLOW_CODE,PARENT_DATAFLOW_CODE,DATAFLOW_AGENCY,DATAFLOW_VERSION,DATAFLOW_NAME,DATAFLOW_DESCRIPTION,DATAFLOW_URN,DSD_URN,DSD_AGENCY,DSD_ID,DSD_VERSION
EGELC,1,MAIN,1,0,EGELC,,,ADB,1.0,Energy and Electricity,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:EGELC(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
EGELC_EG,2,SECONDARY,0,1,EGELC,EGELC_EG,EGELC,ADB,1.0,"Energy and Electricity, Energy",,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:EGELC_EG(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
EGELC_ELC,2,SECONDARY,0,1,EGELC,EGELC_ELC,EGELC,ADB,1.0,"Energy and Electricity, Electricity",,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:EGELC_ELC(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
ENV,1,MAIN,1,0,ENV,,,ADB,1.0,Environment and Climate Change,"Environment includes the key issues of deforestation and greenhouse gas emissions. Indicators related to land use, forest resources, air and water pollution, and freshwater resources per capita are presented in the tables. Data on temperature and climate-related disasters are also included.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:ENV(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
ENV_CC,2,SECONDARY,0,1,ENV,ENV_CC,ENV,ADB,1.0,"Environment and Climate Change, Climate and Climate-related disaster",,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:ENV_CC(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
ENV_FW,2,SECONDARY,0,1,ENV,ENV_FW,ENV,ADB,1.0,"Environment and Climate Change, Fresh Water",,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:ENV_FW(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
ENV_LD,2,SECONDARY,0,1,ENV,ENV_LD,ENV,ADB,1.0,"Environment and Climate Change, Land",,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:ENV_LD(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
ENV_PN,2,SECONDARY,0,1,ENV,ENV_PN,ENV,ADB,1.0,"Environment and Climate Change, Air Pollution",,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:ENV_PN(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
ENV_GGE,2,SECONDARY,0,1,ENV,ENV_GGE,ENV,ADB,1.0,"Environment and Climate Change, Greenhouse Gas Emissions",,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:ENV_GGE(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
EO,1,MAIN,1,0,EO,,,ADB,1.0,Economy and Output,"Economy and Output presents figures comparing the relative size of economies, both within Asia and the Pacific and across the world, using data on gross domestic product (GDP) expressed in current United States (US) dollars. The economic growth rates and gross fixed capital formation levels of ADB member economies in the region are also discussed under this theme. Statistical tables generated from the national accounts include GDP, value added, consumption expenditure, exports and imports, and gross domestic saving. Other tables present production indicators and trends in external trade and domestic consumption.",urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:EO(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
EO_NA,2,SECONDARY,0,1,EO,EO_NA,EO,ADB,1.0,"Economy and Output, National Accounts",,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:EO_NA(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
EO_NA_CONST,2,SECONDARY,0,1,EO,EO_NA_CONST,EO,ADB,1.0,"Economy and Output, National Accounts, At Constant Prices",,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:EO_NA_CONST(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
EO_NA_CONST_GDP_EXP,2,SECONDARY,0,1,EO,EO_NA_CONST_GDP_EXP,EO,ADB,1.0,Gross domestic product by expenditure at constant prices,,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:EO_NA_CONST_GDP_EXP(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
EO_NA_CONST_GOD,2,SECONDARY,0,1,EO,EO_NA_CONST_GOD,EO,ADB,1.0,Growth of Demand (% annual change),,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:EO_NA_CONST_GOD(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
EO_NA_CONST_GOO,2,SECONDARY,0,1,EO,EO_NA_CONST_GOO,EO,ADB,1.0,Growth of Output (% annual change),,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:EO_NA_CONST_GOO(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
EO_NA_CONST_GVA,2,SECONDARY,0,1,EO,EO_NA_CONST_GVA,EO,ADB,1.0,Gross value added by industry at constant prices,,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ADB:EO_NA_CONST_GVA(1.0),urn:sdmx:org.sdmx.infomodel.datastructure.DataStructure=ADB:KIDB_DSD(1.0),ADB,KIDB_DSD,1.0
