Code id,Name,Description
PPL,People,"People highlights standard demographic indicators such as population size, years of schooling, and the number of physicians and hospital beds per 1,000 people. The tables in this section present data on migration and urbanization; age structure; birth, death, and fertility rates; age dependency ratios; employment; poverty and inequality; health and education resources; and the Human Development Index."
EO,Economy and Output,"Economy and Output presents figures comparing the relative size of economies, both within Asia and the Pacific and across the world, using data on gross domestic product (GDP) expressed in current United States (US) dollars. The economic growth rates and gross fixed capital formation levels of ADB member economies in the region are also discussed under this theme. Statistical tables generated from the national accounts include GDP, value added, consumption expenditure, exports and imports, and gross domestic saving. Other tables present production indicators and trends in external trade and domestic consumption."
EGELC,Energy and Electricity,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation."
MFP,"Money, Finance, and Prices","Money, Finance, and Prices summarizes the latest statistics on consumer price inflation and nonperforming loans. Other monetary and financial statistics include producer price inflation, interest rates, bank lending, official exchange rates, and stock market capitalization and growth rates."
GG,Government and Governance,"&lt;div&gt;Government and Governance presents statistics on the revenues and expenditures of governments across Asia and the Pacific; their fiscal balances; their expenditures on health and education services, and their financial commitments to social security and welfare. The theme’s discussion focuses on government taxes as a proportion of GDP, latest global rankings for Transparency International’s Corruption Perceptions Index, and the most recent overall score on the operational efficiency of business entry.&lt;/div&gt;"
GLB,Globalization,"Globalization focuses on trends in remittances, foreign direct investment (FDI), and merchandise exports. The statistical tables cover balance of payments, external trade, international reserves, capital flows, external indebtedness, and tourism."
TC,Transport and Communication,"&lt;div&gt;Transport and Communications features a discussion on air passenger traffic in Asia and the Pacific. Other data topics include container port traffic; road and rail networks; motor vehicle ownership, injuries, and fatalities; internet usage and penetration rates; mobile telephone subscriptions; and fixed telephone subscriptions.&lt;/div&gt;"
ENV,Environment and Climate Change,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation."
SDG_01,Goal 1 - No Poverty,"Eliminating extreme poverty is the first objective of the SDGs. To achieve this goal, economies must generate gainful employment opportunities for the poor and vulnerable and provide requisite social protection benefits to them."
SDG_02,Goal 2 - Zero Hunger,"Although significant progress has been made towards meeting food security and nutritional needs in Asia and the Pacific, hunger and malnutrition persist. Children below the age of 5 years are especially vulnerable to food insecurity and malnutrition. Solutions for ending hunger, reducing food insecurity, and eliminating malnutrition require widespread promotion of sustainable agriculture, increased investment in agriculture, and better access to food."
SDG_03,Goal 3 - Good health and well-being,"While everyone has the right to live healthily throughout their lifetime, providing adequate health care is a significant challenge. Monitoring SDG 3 will require high-quality, timely, and more disaggregated data on health indicators related to reproductive, maternal, and child health; HIV/AIDS; malaria; tuberculosis; and tropical, noncommunicable, and environmental diseases. Ensuring universal health coverage and access to safe, affordable, and effective medicines and vaccines would be a step forward in achieving the targets set for this goal."
SDG_04,Goal 4 - Quality Education,"SDG 4 emphasizes that, not only is education a human right, but quality education, relevant training, and opportunities for lifelong learning should be accessible to all. Achieving SDG 4 requires an improvement in the quality of education across the social spectrum, to ensure access to economic opportunities and better income prospects for all."
SDG_05,Goal 5 - Gender equality,"Gender equality is at the core of the SDGs and eliminating discrimination against women due to unfair social norms, general attitudes, and other factors requires women and girls to feel empowered."
SDG_06,Goal 6 - Clean water and sanitation,"Water supply, sanitation, and hygiene are interlinked with poverty, health, gender, environment, and governance. Improper management of water and sanitation services can put people at risk of contracting a wide range of preventable diseases. SDG 6 aims for universal access to safe water and sanitation as well as promoting adequate hygiene services."
SDG_07,Goal 7 - Affordable and clean energy,"The pursuit of SDG 7 is a path toward broader access to affordable and clean energy and improved use of renewable energy by 2030. This requires expanding access to electricity and clean cooking fuels, building sustainable infrastructure, and increasing the financial capacity and willingness of societies to embrace new technologies."
SDG_08,Goal 8 - Decent work and economic growth,"Economies aim for broad-based, inclusive, and sustainable economic growth to provide better prospects, welfare, and opportunities for their citizens. Providing access to better jobs is essential to ensure sustainable economic growth and development. It is the core objective of SDG 8. Sustaining high levels of economic growth, achieving full and productive employment, and ensuring decent work for all will be challenging if economies continue to deplete their natural resources and do not leverage technology."
SDG_09,"Goal 9 - Industry, Innovation, and Infrastructure","Amid the vastly changing landscape in manufacturing and trade brought about by technological innovations, SDG 9 seeks to strengthen supply chains and retrofit industries across economies. Investments in smart infrastructure and innovation are also needed to stimulate economic activity that ensures sustainable industrialization while achieving growth in wealth and productivity."
SDG_10,Goal 10 - Reduced inequality,"Across Asia and the Pacific, there remains unequal access to opportunities, public goods, and essential services among various groups. Inequality created by factors such as level of wealth, sex, residence, disability status, ethnicity, and migration status can create barriers to social mobility and economic growth. SDG 10 aims to provide more equitable access to opportunities, so that all people can be given a chance to participate in growth processes and fully realize their potential."
SDG_11,Goal 11 - Sustainable cities and communities,"Nearly half the population of Asia and the Pacific resides in urban areas. As cities continue to be engines of economic growth and offer opportunities for improved welfare, urban populations in the region are expected to overtake those of rural areas by 2022 (United Nations Department of Economic and Social Affairs 2018). SDG 11, which aims to ensure access to safe housing and affordable transport and to build resilience in cities for all, will only be achieved if urban planning and management efforts are scaled up. These efforts must address the need to convert informal settlements into sustainable and resilient living communities and to bring air-pollution levels to internationally acceptable standards."
SDG_12,Goal 12 - Responsible consumption and production,"Across the world, increased demands for food, water, energy, and other vital necessities are driven by population growth and rising urbanization. Meeting these demands has affected past and present patterns of consumption and production. SDG 12 aims to reduce the world’s ecological footprint by fostering sustainable ways to produce and consume goods, services, and resources. The efficient management of shared natural resources, and the reduction of toxic waste and pollutants throughout the entire production and consumption process, are critical to attaining sustainable development."
SDG_13,Goal 13 - Climate action,"&lt;div&gt;The increasing frequency and intensity of extreme weather events, rising sea levels, and other volatile climatic variables are of global concern. Among other issues, the impacts of climate change can affect livelihoods, food production, energy security, and social cohesion. Consequently, economies have committed to actions to combat climate change. SDG 13 focuses on development that is sensitive to climate change and its impacts, especially for the most vulnerable in society.&lt;/div&gt;"
